,source_id,nombre,inicial,apellidos,especialidad,telefono #1,telefono #2,direccion,pueblo,estado,actualizacion
2330,001,LABORATORIO CLINICO LOS PINOS,,nan,LABORATORIO CLINICO,787-881-2828,,CARR #2 KM 67 7 ZONA INDUSTRIAL BO SANTANA,ARECIBO,PUERTO RICO,01/28/2024
2334,001,LABORATORIO DE PATOLOGIA DR NOY INC,,nan,PATOLOGIA   CLINICA,787-751-1312,,239 ARTERIAL HOSTOS CAPITAL CENTER TORRE 1 SUITE 1 A SOTANO,SAN JUAN,PUERTO RICO,01/28/2024
2338,001,LABORATORIO CLINICO BACTERIOLOGICO CIALES,,nan,LABORATORIO CLINICO,787-871-2626,,CALLE CORCHADO #32,CIALES,PUERTO RICO,01/28/2024
2339,001,LABORATORIO CLINICO DEL CENTRO,,nan,LABORATORIO CLINICO,787-822-2414,,RAMON TORRES ST #53,FLORIDA,PUERTO RICO,01/28/2024
2340,001,LABORATORIO CLINICO ALTURAS,,nan,LABORATORIO CLINICO,787-855-0756,,CARR 670 KM 9 2BO ALGARROBO,VEGA BAJA,PUERTO RICO,01/28/2024
2341,001,LABORATORIO CLINICO  PAJUIL,,nan,LABORATORIO CLINICO,787-820-5508,,CARR 490 KM 4 5 BO PAJUIL,HATILLO,PUERTO RICO,01/28/2024
2342,001,LABORATORIO CLINICO  CARRAIZO INC,,nan,LABORATORIO CLINICO,787-755-5060,787-946-0363,PARCELAS DE CARRAIZO CARR 844 KM 5 6,TRUJILLO ALTO,PUERTO RICO,01/28/2024
2343,001,LABORATORIO CLINICO ALMIRANTE NORTE,,nan,LABORATORIO CLINICO,787-654-8885,,CARR 160 KM 4 5 ALMIRANTE NORTE,VEGA BAJA,PUERTO RICO,01/28/2024
2344,001,LABORATORIO CLINICO SAN JOSE,,nan,LABORATORIO CLINICO,787-854-2277,,URB SAN SALVADOR CALLE MARGINAL A7,MANATI,PUERTO RICO,01/28/2024
2356,001,LABORATORIO CLINICO TORREMAR,,nan,LABORATORIO CLINICO,787-862-3900,,CARRETERA 633 KM 4 9BO BARAHONA,MOROVIS,PUERTO RICO,01/28/2024
